,news_id,title,Value 
0,76,"Employers can require COVID-19 vaccine, US says - WAFB",True
1,272,Turkey says China's Sinovac COVID vaccine 91.25% effective in late trials - Reuters India,True
2,110,Pizza-sized boxes and paying a premium: Israel's COVID-19 vaccine rollout - Reuters India,True
3,123,Texas Republican Rep. Kevin Brady tests positive for Covid-19,True
4,127,OSDH: COVID-19 vaccine online scheduler portal now available for pre-registration - KOCO Oklahoma City,True
5,12,Fauci says he's confident in the vaccine. Here's why,True
6,81,BRIEF-WHO Says Pfizer/BioNTech COVID-19 Vaccine Today Became First Vaccine To Receive WHO Validation For Emergency Use - Tweet - Reuters UK,True
7,285,Exclusive-Russia ships only first part of COVID-19 vaccine to Argentina -sources - Reuters,True
8,347,How the vaccine gets from the lab to your arm,True
9,369,President Trump Backpedals on Plan to Give White House Staffers Priority For Covid-19 Vaccine,True
10,396,What we know about Moderna's coronavirus vaccine and how it differs from Pfizer's,True
11,22,Britain Approves Homegrown Vaccine from AstraZeneca and Oxford,True
12,84,"Employers can require COVID-19 vaccine, US says - WDBJ7",True
13,216,How Delhi Airport Is Preparing For Covid-19 Vaccine Storage? Inside Vaccine Cold Chamber - India Today,True
14,365,"Covid-19 vaccine rollout was a moment of hope in pandemic's 'darkest days,' expert says. But the dark days aren't over",True
15,344,Britain Approves Homegrown Vaccine from AstraZeneca and Oxford,True
16,451,Covid-19: Irish government authorises Pfizer-BioNTech vaccine,True
17,13,"US sets Covid-19 case, hospitalization and death records ahead of key meeting for Moderna's vaccine",True
18,150,Criticism mounts of India's 'abrupt' approval of local vaccine - Reuters India,True
19,205,Track COVID Vaccinations With These Websites,True
20,218,India embarks on one of the world's most ambitious vaccine rollouts,True
21,151,Indonesia Islamic council hopes for halal ruling before mass vaccination - Reuters India,True
22,61,Live Video: Watch a Man With Blood on His Hands Get Vaccinated For Covid-19,True
23,156,Factbox: Vaccine dosing intervals - What countries are doing around the world - Reuters India,True
24,249,Mexican doctor hospitalized after receiving COVID-19 vaccine - Reuters India,True
25,25,Covid-19: Irish government authorises Pfizer-BioNTech vaccine,True
26,209,3 surprising drugs being repurposed to fight COVID-19,True
27,500,Answering the Most Common COVID-19 Vaccine Questions - News4JAX,True
28,126,"High-risk pregnant, breastfeeding women should get COVID-19 vaccine: OMA - CP24 Toronto's Breaking News",True
29,252,Indonesia receives 1.8 million more doses of Sinovac COVID-19 vaccine - SaltWire Network,True
30,343,"After the Vaccine: Sore Arm, Yes. Headache, Maybe. Regrets, No.",True
31,245,Pakistan to purchase 1.2 million COVID-19 vaccine doses from China's Sinopharm - Reuters India,True
32,449,"Headache, Fatigue, and Other Not-So-Scary Side Effects of Pfizer's Covid-19 Vaccine",True
33,406,COVID-19 vaccine monitoring program may be at risk of false reports,True
34,83,"When a freezer broke in a hospital, officials jumped to action to administer more than 800 vaccines in just about 2 hours",True
35,398,Vaccines Are Here. We Have to Talk About Side Effects,True
36,18,Late-night hosts react to Covid-19 vaccine distribution,True
37,147,Slow vaccine rollout stokes tensions among EU states - Reuters India,True
38,461,Rupert Murdoch gets vaccine as Fox News pushes misinformation,True
39,85,'Grave risk:' Advocates say inmates should get speedy access to COVID-19 vaccine - larongeNOW,True
40,430,Why some communities may have trouble receiving Covid-19 vaccines,True
41,441,Trump Claims Credit for Vaccines. Some of His Backers Don’t Want to Take Them.,True
42,497,Canada approves COVID-19 vaccine - Reuters UK,True
43,187,"Ukrainian firm applies to make Russia's COVID-19 vaccine, sparking political dilemma - Reuters",True
44,224,"Turkey expects China COVID-19 vaccine in days, as doctors seek more data - Reuters India",True
45,458,The U.S. Just Secured Another 100 Million Doses of the Pfizer and BioNTech Covid-19 Vaccine,True
46,50,Romney on Trump: People wondering 'What in the world has gotten into this man?',True
47,120,Germany minister say enough vaccines ordered for all - Reuters India,True
48,325,The FDA Has Authorized Pfizer’s Covid-19 Vaccine for Emergency Use,True
49,496,What we know about Moderna's coronavirus vaccine and how it differs from Pfizer's,True
50,219,FBI investigating after hospital says worker intentionally removed vaccine from fridge,True
51,375,Vaccine chief praises Biden's plan to ask Americans to wear masks for first 100 days,True
52,254,Mexican doctor hospitalized after receiving COVID-19 vaccine - Reuters UK,True
53,90,BRIEF-Health Canada Statement On U.K. Authorization Of Astrazeneca's COVID-19 Vaccine - Reuters India,True
54,166,Israel's health ministry authorizes use of Moderna's COVID-19 vaccine - Reuters India,True
55,255,India approves AstraZeneca's COVID-19 vaccine - Reuters India,True
56,489,Tennessee governor: 'One thing this vaccine will not solve or cure is selfishness',True
57,116,UK scientists question COVID-19 vaccine dosing delay - Reuters India,True
58,499,How Delhi Airport Is Preparing For Covid-19 Vaccine Storage? Inside Vaccine Cold Chamber - India Today,True
59,141,Timeline: How the EU filled its basket in COVID-19 shopping spree - Reuters,True
60,174,FACTBOX-Vaccine dosing intervals: What countries are doing around the world - Reuters India,True
61,266,FDA Shoots Down Plan to Extend Vaccine Supply With Alternate Dosing,True
62,411,COVID-19 vaccine starts working within two weeks after first shot,True
63,414,An algorithm put just seven medical residents on Stanford Medicine’s initial COVID-19 vaccine distribution list,True
64,89,"Turkey expects China COVID-19 vaccine in days, as doctors seek more data - Reuters India",True
65,94,Emergency US authorization for AstraZeneca COVID-19 vaccine likely in April - Reuters UK,True
66,7,An algorithm put just seven medical residents on Stanford Medicine’s initial COVID-19 vaccine distribution list,True
67,177,WHO recommends two doses of Pfizer COVID-19 vaccine within 21-28 days - Reuters UK,True
68,269,Pfizer and BioNTech to offer COVID vaccine to volunteers who got placebo - Reuters India,True
69,270,"Russia ready to trial combined AstraZeneca, Sputnik V vaccine in Ukraine - Reuters UK",True
70,338,See the TikTok team that's tackling Covid-19 vaccine misinformation,True
71,481,These containers used to ship fresh tuna. Now they'll deliver Covid-19 vaccines,True
72,87,J&J says late-stage COVID-19 vaccine trial fully enrolled - Cape Breton Post,True
73,304,Google to add Covid-19 vaccine information panels to Search,True
74,493,Emergency use approval for AstraZeneca COVID-19 vaccine likely in April: Slaoui - Reuters India,True
75,292,"El Salvador greenlights AstraZeneca, Oxford University COVID-19 vaccine - Reuters",True
76,422,Track COVID Vaccinations With These Websites,True
77,1,Twitter will start removing COVID-19 vaccine misinformation next week,True
78,3,Twitter says it will start removing COVID-19 vaccine misinformation,True
79,315,Australia Scraps Homegrown Covid-19 Vaccine After Trial Participants Get 'False Positive' Test Results For HIV,True
80,79,FBI investigating after hospital says worker intentionally removed vaccine from fridge,True
