news_id,author,title,description,url,urlToImage,content
1,"Igor Bonifacic","Twitter will start removing COVID-19 vaccine misinformation next week","Starting next week, Twitter will begin removing tweets that make false or misleading claims about COVID-19 vaccines. Posts that suggest vaccines can harm or control people, that make false claims about their adverse side-effects or that suggest COVID-19 isn’t…",https://www.engadget.com/twitter-covid-19-vaccine-misinformation-policy-204452958.html,https://o.aolcdn.com/images/dims?resize=1200%2C630&crop=1200%2C630%2C0%2C0&quality=95&image_uri=https%3A%2F%2Fs.yimg.com%2Fos%2Fcreatr-uploaded-images%2F2020-12%2F4c505580-3e49-11eb-bfbf-76c6d8513e08&client=amp-blogside-v2&signature=b02779f018c0a7f9547724bac1d96d531e8cb9b2,"“In the context of a global pandemic, vaccine misinformation presents a significant and growing public health challenge — and we all have a role to play,” the company said. “We are focused on mitigat… [+622 chars]"
2,"Elizabeth Yuko on Vitals, shared by Elizabeth Yuko to Lifehacker","What We Know About Allergic Reactions to the COVID Vaccines","Amid last week’s jubilant news segments featuring frontline healthcare workers getting their first dose of Pfizer’s COVID-19 vaccine came reports that put a damper on the excitement: that some of the vaccine recipients experienced severe allergic reactions fo…",https://vitals.lifehacker.com/what-we-know-about-allergic-reactions-to-the-covid-vacc-1845934680,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/g9u5kdn7n5iacterquch.jpg","Amid last weeks jubilant news segments featuring frontline healthcare workers getting their first dose of Pfizers COVID-19 vaccine came reports that put a damper on the excitement: that some of the v… [+5677 chars]"
3,"Makena Kelly","Twitter says it will start removing COVID-19 vaccine misinformation","Twitter has announced that it will start removing coronavirus vaccine misinformation from its platform, including harmful conspiracy theories related to inoculation efforts.",https://www.theverge.com/2020/12/16/22179074/twitter-coronavirus-misinformation-covid19-vaccine-vaccination-label,https://cdn.vox-cdn.com/thumbor/giU_BUhPLHDoWcncob_qvRxDm-M=/0x146:2040x1214/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/20086268/acastro_200715_1777_twitter_0004.0.jpg,"It may apply labels early in 2021
Illustration by Alex Castro / The Verge
Twitter announced Wednesday that it will remove tweets making false or misleading claims about COVID-19 vaccinations.
Any … [+1496 chars]"
4,"Benjamin Mazer","There Should Be a Nobel Prize for Vaccine Logistics","Immunization against Covid-19 is not going perfectly, but at least it's going. Let's give credit where it's due.",https://www.wired.com/story/there-should-be-a-nobel-prize-for-vaccine-logistics/,"https://media.wired.com/photos/5ff4fb087446cc572b7838cf/191:100/w_1280,c_limit/Vaccine-Distribution.jpg","I spent a lot of time last year thinking about how things went wrong. You can understand why. As a physician, the many failures of our public health and medical systems have been especially stinging.… [+4480 chars]"
5,"Nicole Wetsman","FDA tells US health providers not to modify COVID-19 vaccine dose schedule","The FDA said US health providers should deliver COVID-19 vaccine doses on schedule, after debate among experts over whether the second shot should be delayed to stretch vaccine supply. UK officials are taking that approach.",https://www.theverge.com/2021/1/5/22214865/covid-vaccine-schedule-doses-fda-uk,https://cdn.vox-cdn.com/thumbor/bdtYi-xP-N77qGepIx4zFA0jKP8=/0x304:4250x2529/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/22215024/1230430316.jpg,"The UK is delaying the second dose
Photo by Thomas Krych/SOPA Images/LightRocket via Getty Images
Health care providers in the United States should stick to the two-dose schedule for both authorize… [+3465 chars]"
6,"Ed Cara","FDA Authorizes Moderna Covid-19 Vaccine for Emergency Use","On Friday, the Food and Drug Administration authorized the emergency use of a covid-19 vaccine developed by the Massachusetts-based biotech company Moderna. It’s the second such good news in as many weeks, following the FDA’s authorization of Pfizer and BioNT…",https://gizmodo.com/fda-authorizes-moderna-covid-19-vaccine-for-emergency-u-1845899236,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/nscu7fv0utfgxvbvsgid.jpg","On Friday, the Food and Drug Administration authorized the emergency use of a covid-19 vaccine developed by the Massachusetts-based biotech company Moderna. Its the second such good news in as many w… [+5155 chars]"
7,"Jay Peters","An algorithm put just seven medical residents on Stanford Medicine’s initial COVID-19 vaccine distribution list","An algorithm determining which Stanford Medicine employees would receive its 5,000 initial doses of the COVID-19 vaccine included just seven medical residents / fellows on the list. Stanford Medicine leadership has since apologized and promised to re-evaluate…",https://www.theverge.com/2020/12/20/22191749/stanford-medicine-covid-19-vaccine-distribution-list-algorithm-medical-residents,https://cdn.vox-cdn.com/thumbor/pvRn6WRq6J3mty-UWA1EDgq6sx8=/0x282:5908x3375/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/22186072/1292266593.jpg,"Photo by Hugh Hastings/Getty Images
An algorithm determining which Stanford Medicine employees would receive its 5,000 initial doses of the COVID-19 vaccine included just seven medical resident… [+3340 chars]"
8,"Karissa Bell","Facebook adds new notifications for COVID-19 misinformation","Facebook is doing more to alert users who have shared dangerous misinformation about the coronavirus pandemic. The social network is introducing a new notification that will tell users that a post they liked, shared or commented on has been removed due to “po…",https://www.engadget.com/facebook-notifications-harmful-coronavirus-misinformation-191233820.html,https://o.aolcdn.com/images/dims?resize=1200%2C630&crop=1200%2C630%2C0%2C0&quality=95&image_uri=https%3A%2F%2Fs.yimg.com%2Fos%2Fcreatr-uploaded-images%2F2020-12%2Fea692660-3f08-11eb-aff9-b2a3543199a6&client=amp-blogside-v2&signature=d69ed10b854285aa67102b2223f2577d088d6b11,"With the latest update, Facebook is now acknowledging those messages didn’t go far enough. The new notifications will be much more detailed. “Clicking on the notification will take users to a landing… [+1411 chars]"
9,"Brian Kahn on Earther, shared by Andrew Couts to Gizmodo","What's Truly Terrifying About the Stumbling Covid-19 Vaccine Rollout","A cursory glance at country-by-country covid-19 vaccinations shows the U.S. well ahead of other countries. But dive a little below the surface and the data tell a different story. While more than 2.1 million people have received their first covid-19 vaccine s…",https://earther.gizmodo.com/whats-truly-terrifying-about-the-stumbling-covid-19-vac-1845967591,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/dnp3j64crmmz8ckjzflv.jpg","A cursory glance at country-by-country covid-19 vaccinations shows the U.S. well ahead of other countries. But dive a little below the surface and the data tell a different story. While more than 2.1… [+6546 chars]"
10,https://www.facebook.com/bbcnews,"Covid-19: China approves Sinopharm vaccine for general use","The Sinopharm vaccine is the first in China to be approved beyond emergency use.",https://www.bbc.co.uk/news/world-asia-china-55498197,https://ichef.bbci.co.uk/news/1024/branded_news/11F11/production/_116298437_gettyimages-1230209584.jpg,"image copyrightGetty Images
image captionBoth the UAE and Bahrain have already granted emergency use of the Sinopharm vaccine for key workers
Chinese authorities have given conditional approval for… [+5528 chars]"
