tweet_id,username,created_at,tweet,retweet_count,place,location
1,prakash2629,"2021-01-06 13:43:33","RT @BillGates: It’s great to see India’s leadership in scientific innovation and vaccine manufacturing capability as the world works to end…",0,NULL,"Barmer, India"
2,Tiger_RaGa,"2021-01-06 13:43:34","RT @VMimi09: Thread - Shocking details on Bharat Biotech's vaccine trials",0,NULL,India
3,Via6Via,"2021-01-06 13:43:34","@AuthorKimberley Let’s put Stacey in charge of COVID vaccine. She’ll get everyone immunized within a few months.",0,NULL,"United States"
4,LReay89,"2021-01-06 13:43:35","RT @rosbragg: “This data gap is not an anomaly. It is the result of a system of researching and licensing drugs that routinely discriminate…",0,NULL,"Southampton "
5,Bernie1818,"2021-01-06 13:43:35","RT @WestJournalism: Experts say this is why two doses of the vaccine are necessary. https://t.co/4d3hQju8qn",0,NULL,"Paris, France"
6,TheOneRebel,"2021-01-06 13:43:35","RT @NYTNational: The Wisconsin pharmacist accused of sabotaging over 500 doses of the Covid-19 vaccine was “an admitted conspiracy theorist…",0,NULL,"New York, USA"
7,FlankerFoxy,"2021-01-06 13:43:35","RT @ANI: Cutis Biotech claimed that they've already applied for trademark registration of the name 'Covishield' for their products in April…",0,NULL,NULL
8,rosborough_roma,"2021-01-06 13:43:35","No thanks!! Not now or ever! https://t.co/E8PXePkBrY",0,NULL,Ireland
9,_albertocepeda,"2021-01-06 13:43:35","RT @AOC: Imagine being so racist that you go out of your way to ensure that the people who prepare *your* food are unvaccinated.",0,NULL,NULL
10,Singh011Jaspal,"2021-01-06 13:43:36","Don’t wait, Vaccinate!! So excited to witness this in real time as the public is starting to come in this morning t… https://t.co/Swtflej4We",0,"United States","Charlotte, NC"
11,Ayub43962931,"2021-01-06 13:43:36","RT @SalmanNizami_: BJP leaders went nuts with Go Corona Go, Gau Mutra, Gobar, Papad cures for covid. Now, they approved local vaccine witho…",0,NULL,NULL
12,Th3CheeseDealer,"2021-01-06 13:43:36","RT @therecount: Gov. Ricketts (R-NE) says undocumented workers at meatpacking plants will not be eligible to receive the COVID vaccine.

Th…",0,NULL,"North Carolina, USA"
13,agingerssoul,"2021-01-06 13:43:37","RT @ScaryMommy: If You’re Afraid of the Vaccine, But Not COVID-19—We Need to Talk 
https://t.co/XCKzP5GKuR https://t.co/pF6meDJfrT",0,NULL,"The Mountains"
14,edroso,"2021-01-06 13:43:38","RT @alexkotch: 1) So the pharmacist who destroyed 500 doses of the covid vaccine is a conspiracy theorist who...wait for it...was radicaliz…",0,NULL,"Washington DC, N.E."
15,VABIRMINGHAM,"2021-01-06 13:43:38","RT @SecWilkie: .@DeptVetAffairs administered initial COVID-19 vaccine doses to more than 14,000 Veterans at high risk of getting COVID-19 i…",0,NULL,"Birmingham, Alabama"
16,SunshinexAreum,"2021-01-06 13:43:38","RT @ifyouseekkae: What are they distracting us from:

1) vaccine smuggling
2) POGO workers getting vaccine ahead of our healthcare workers…",0,NULL," PH"
17,jazzizbest,"2021-01-06 13:43:38","RT @fernhilldammit: Why are we not in the streets? Roll-out of Covid vaccine is criminally negligent. We have money, we have vaccines. Jeez…",0,NULL,"Ontario, Canada"
18,JenniferMacNab,"2021-01-06 13:43:39","RT @MarkGerretsen: Here’s a thought: how about we let *health professionals* decide who gets a vaccine and when. You know...instead of tryi…",0,NULL,"Ottawa, Ontario"
19,mariapcalavia,"2021-01-06 13:43:39","He is probably a christian who attends church every Sunday.  Will Jesus discriminates against someone who doesn’t l… https://t.co/dM7Zva2fJs",0,NULL,NULL
20,brandonmscales,"2021-01-06 13:43:40","RT @GMA: Dr. Jerome Adams speaks on the slower-than-expected distribution of COVID-19 vaccine. “We’re going to make sure we’re putting vacc…",0,NULL,NULL
21,MrDavidGrant,"2021-01-06 13:43:40","RT @HannahCox7: I don’t say this often in politics as I think most people enter the field to make a difference &amp; improve the world.

But Go…",0,NULL,"Addison, Maine"
22,Grumpytheking,"2021-01-06 13:43:40","RT @MattHancock: The PM is right - with the COVID vaccine roll-out, we have a route back to normal.

The UK has vaccinated over 1.3 million…",0,NULL,"South East, England"
23,CllrMaggieallen,"2021-01-06 13:43:41","UK Parliament: 2nd Covid Vaccine should be 21 /28 Days NOT 12 Weeks. Challenge the U​.​K. Government! - Sign the Pe… https://t.co/e91C2TD6kF",0,NULL,NULL
